month,studio_code,target_leads,target_visits,target_revenue
2025-01,S01,536,123,83181120
2025-01,S02,302,59,27028652
2025-01,S03,157,49,8898089
2025-01,S04,303,74,48631504
2025-01,S05,502,122,61308571
2025-01,S06,325,71,33867202
2025-01,S07,170,39,57362139
2025-01,S08,330,79,44155120
2025-01,S09,599,103,92269790
2025-01,S10,313,94,69598374
2025-01,S11,154,31,8312455
2025-01,S12,329,71,54615148
2025-02,S01,514,107,72183630
2025-02,S02,305,67,64279625
2025-02,S03,151,40,8383914
2025-02,S04,258,70,16394455
2025-02,S05,518,119,52830195
2025-02,S06,292,66,64717102
2025-02,S07,151,27,19077278
2025-02,S08,294,59,36135651
2025-02,S09,553,145,111864176
2025-02,S10,277,65,62131405
2025-02,S11,156,31,8420380
2025-02,S12,272,74,32537485
2025-03,S01,512,123,82694632
2025-03,S02,358,97,57093711
2025-03,S03,169,35,19092368
2025-03,S04,313,69,18974272
2025-03,S05,503,126,74307701
2025-03,S06,362,79,64514106
2025-03,S07,171,42,28750437
2025-03,S08,332,80,26292249
2025-03,S09,531,126,93686174
2025-03,S10,341,79,92944876
2025-03,S11,152,29,19453462
2025-03,S12,348,79,70694156
2025-04,S01,515,142,95086048
2025-04,S02,332,85,18272986
2025-04,S03,148,36,28357227
2025-04,S04,320,71,37838508
2025-04,S05,571,125,62663033
2025-04,S06,300,94,40741920
2025-04,S07,156,39,7991123
2025-04,S08,317,81,59753933
2025-04,S09,557,131,115606593
2025-04,S10,328,63,29120836
2025-04,S11,153,40,20703473
2025-04,S12,325,75,62445958
2025-05,S01,533,138,104956630
2025-05,S02,321,69,29427876
2025-05,S03,154,38,22695506
2025-05,S04,332,76,48115332
2025-05,S05,592,145,61019704
2025-05,S06,321,76,38175884
2025-05,S07,160,47,67229897
2025-05,S08,367,90,48397630
2025-05,S09,587,138,92324025
2025-05,S10,330,82,67000543
2025-05,S11,159,54,27934728
2025-05,S12,360,73,90950477
2025-06,S01,554,123,47420443
2025-06,S02,281,74,61048005
2025-06,S03,161,38,9681258
2025-06,S04,281,84,49010548
2025-06,S05,531,137,82093271
2025-06,S06,335,76,43181441
2025-06,S07,171,40,24336814
2025-06,S08,294,85,87335686
2025-06,S09,524,128,93616666
2025-06,S10,287,80,56117727
2025-06,S11,163,39,23277999
2025-06,S12,338,73,49796137
2025-07,S01,572,139,79757687
2025-07,S02,326,69,32453345
2025-07,S03,148,45,38815962
2025-07,S04,295,62,31347515
2025-07,S05,546,112,70643956
2025-07,S06,291,79,39821377
2025-07,S07,151,54,32099349
2025-07,S08,305,97,28937683
2025-07,S09,545,138,113633834
2025-07,S10,351,68,50458218
2025-07,S11,155,63,68115634
2025-07,S12,298,74,42277558
2025-08,S01,533,160,157352517
2025-08,S02,306,85,56181532
2025-08,S03,188,43,22789660
2025-08,S04,313,87,91817500
2025-08,S05,590,121,120312405
2025-08,S06,344,70,48423329
2025-08,S07,158,38,78407974
2025-08,S08,345,73,77259705
2025-08,S09,509,163,88788270
2025-08,S10,320,99,61032492
2025-08,S11,145,25,7170913
2025-08,S12,348,98,36643737
2025-09,S01,498,129,89766496
2025-09,S02,295,81,29867500
2025-09,S03,174,47,20371548
2025-09,S04,318,72,77330863
2025-09,S05,551,147,71002461
2025-09,S06,329,101,53150766
2025-09,S07,169,30,35353490
2025-09,S08,328,93,73168518
2025-09,S09,529,131,57162566
2025-09,S10,360,52,40312263
2025-09,S11,171,30,5664650
2025-09,S12,329,53,30311742
2025-10,S01,600,156,137835727
2025-10,S02,321,103,73630866
2025-10,S03,170,40,24846632
2025-10,S04,338,76,42454957
2025-10,S05,569,134,104545890
2025-10,S06,359,89,136227959
2025-10,S07,145,42,24345860
2025-10,S08,312,91,66297988
2025-10,S09,555,114,93411266
2025-10,S10,370,65,73504845
2025-10,S11,145,30,49894521
2025-10,S12,350,64,27006426
2025-11,S01,507,114,111577484
2025-11,S02,322,82,37697152
2025-11,S03,164,41,23039673
2025-11,S04,283,74,52606857
2025-11,S05,512,140,93297555
2025-11,S06,317,91,99210754
2025-11,S07,179,41,8912156
2025-11,S08,311,84,69236267
2025-11,S09,505,107,151325025
2025-11,S10,299,58,54673318
2025-11,S11,136,33,40365873
2025-11,S12,338,72,43138185
2025-12,S01,576,128,99862962
2025-12,S02,305,86,81253906
2025-12,S03,180,45,27486709
2025-12,S04,303,81,44576322
2025-12,S05,583,129,95883166
2025-12,S06,340,84,34716307
2025-12,S07,150,38,10317237
2025-12,S08,357,96,84454381
2025-12,S09,540,113,104340806
2025-12,S10,348,70,42929423
2025-12,S11,160,21,4562126
2025-12,S12,303,76,53160367
